Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE WATERSIDE,"4,380,000","2,400.37","1,825",Nov-22,TANJONG RHU ROAD,Resale,Strata,223,"19,641",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
SANCTUARY GREEN,"2,100,000","1,399.32","1,501",Nov-22,TANJONG RHU ROAD,Resale,Strata,130,"16,154",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,06 to 10
ESPIRA SUITES,"680,000",441.32,"1,541",Nov-22,LORONG G TELOK KURAU,Resale,Strata,41,"16,585",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE SEAWIND,"1,390,000",699.66,"1,987",Nov-22,LORONG M TELOK KURAU,Resale,Strata,65,"21,385",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE EASTSIDE,"2,300,000","1,216.33","1,891",Nov-22,JOO CHIAT ROAD,Resale,Strata,113,"20,354",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
COSTA RHU,"1,850,000","1,399.32","1,322",Nov-22,RHU CROSS,Resale,Strata,130,"14,231",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
AURA 83,"1,680,000","1,119.46","1,501",Nov-22,DUKU ROAD,Resale,Strata,104,"16,154",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
COTE D'AZUR,"1,625,000","1,140.98","1,424",Nov-22,MARINE PARADE ROAD,Resale,Strata,106,"15,330",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,11 to 15
COTE D'AZUR,"2,400,000","1,280.92","1,874",Nov-22,MARINE PARADE ROAD,Resale,Strata,119,"20,168",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,16 to 20
THE AMERY,"2,200,000","1,377.79","1,597",Nov-22,LORONG K TELOK KURAU,Resale,Strata,128,"17,188",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
VILLA MARINA,"1,630,000","1,560.78","1,044",Nov-22,JALAN SEMPADAN,Resale,Strata,145,"11,241",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
COSTA RHU,"1,940,000","1,399.32","1,386",Nov-22,RHU CROSS,Resale,Strata,130,"14,923",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,11 to 15
MODA,"1,910,000",968.76,"1,972",Nov-22,EAST COAST ROAD,Resale,Strata,90,"21,222",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
SUITES @ EASTCOAST,"618,000",409.03,"1,511",Nov-22,UPPER EAST COAST ROAD,Resale,Strata,38,"16,263",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
WATER PLACE,"1,990,000","1,280.92","1,554",Nov-22,TANJONG RHU ROAD,Resale,Strata,119,"16,723",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,06 to 10
PARADISE PALMS,"1,580,000",914.94,"1,727",Nov-22,DUNMAN ROAD,Resale,Strata,85,"18,588",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
LA VIDA @ 130,"770,000",710.42,"1,084",Nov-22,LORONG K TELOK KURAU,Resale,Strata,66,"11,667",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
RESIDENTIAL APARTMENTS,"1,745,000","1,065.64","1,638",Nov-22,JOO CHIAT PLACE,Resale,Strata,99,"17,626",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
LAGOON VIEW,"1,880,000","1,646.89","1,142",Nov-22,MARINE PARADE ROAD,Resale,Strata,153,"12,288",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,16 to 20
NEPTUNE COURT,"1,580,000","1,636.13",966,Nov-22,MARINE VISTA,Resale,Strata,152,"10,395",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,11 to 15
THE WATERSIDE,"4,160,000","2,411.14","1,725",Nov-22,TANJONG RHU ROAD,Resale,Strata,224,"18,571",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
THE MAKENA,"2,500,000","1,291.68","1,935",Nov-22,MEYER ROAD,Resale,Strata,120,"20,833",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
PEBBLE BAY,"3,600,000","1,894.46","1,900",Nov-22,TANJONG RHU ROAD,Resale,Strata,176,"20,455",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,11 to 15
SUITES @ AMBER,"1,250,000",635.08,"1,968",Nov-22,AMBER ROAD,Resale,Strata,59,"21,186",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
VILLA MARINA,"1,520,000","1,151.75","1,320",Nov-22,JALAN SEMPADAN,Resale,Strata,107,"14,206",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
HAIG ELEVEN,"1,400,000",882.65,"1,586",Nov-22,HAIG AVENUE,Resale,Strata,82,"17,073",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
EASTERN LAGOON,"1,250,000",753.48,"1,659",Nov-22,UPPER EAST COAST ROAD,Resale,Strata,70,"17,857",-,Condominium,1,Freehold,15,Outside Central Region,11 to 15
VERSILIA ON HAIG,"1,830,000","1,022.58","1,790",Nov-22,IPOH LANE,Resale,Strata,95,"19,263",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
VERTIS,"2,120,000","1,205.57","1,759",Nov-22,AMBER GARDENS,Resale,Strata,112,"18,929",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
RESIDENTIAL APARTMENTS,"2,200,000","1,388.56","1,584",Nov-22,STANGEE PLACE,Resale,Strata,129,"17,054",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
MEYERHOUSE,"7,154,000","2,820.17","2,537",Nov-22,MEYER ROAD,Resale,Strata,262,"27,305",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
BOWMONT CENTRE,"2,390,000","1,883.7","1,269",Nov-22,SIGLAP DRIVE,Resale,Strata,175,"13,657",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
MALVERN SPRINGS,"1,690,000",979.52,"1,725",Oct-22,ONAN ROAD,Resale,Strata,91,"18,571",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
CORALIS,"1,800,000",861.12,"2,090",Oct-22,JOO CHIAT ROAD,Resale,Strata,80,"22,500",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
MANDARIN GARDENS,"2,060,000","1,786.82","1,153",Oct-22,SIGLAP ROAD,Resale,Strata,166,"12,410",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,06 to 10
THE LUCENT,"1,390,000",904.18,"1,537",Oct-22,LORONG N TELOK KURAU,Resale,Strata,84,"16,548",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SEASIDE RESIDENCES,"1,220,000",678.13,"1,799",Oct-22,SIGLAP LINK,Resale,Strata,63,"19,365",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,06 to 10
CASUARINA COVE,"1,730,000","1,216.33","1,422",Oct-22,TANJONG RHU ROAD,Resale,Strata,113,"15,310",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,06 to 10
833 M B RESIDENCES,"1,000,000",882.65,"1,133",Oct-22,MOUNTBATTEN ROAD,Resale,Strata,82,"12,195",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SERAYA 9,"1,133,000",775.01,"1,462",Oct-22,SERAYA LANE,Resale,Strata,72,"15,736",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
HERITAGE RESIDENCES,"1,500,000","1,087.16","1,380",Oct-22,LORONG L TELOK KURAU,Resale,Strata,101,"14,851",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE MEYERISE,"2,850,000","1,280.92","2,225",Oct-22,MEYER ROAD,Resale,Strata,119,"23,950",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
FLAMINGO VALLEY,"880,000",516.67,"1,703",Oct-22,SIGLAP ROAD,Resale,Strata,48,"18,333",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE SHORE RESIDENCES,"1,045,888",592.02,"1,767",Oct-22,AMBER ROAD,Resale,Strata,55,"19,016",-,Condominium,1,103 yrs lease commencing from 2009,15,Rest of Central Region,06 to 10
DUNMAN REGENCY,"1,388,000",871.88,"1,592",Oct-22,DUNMAN ROAD,Resale,Strata,81,"17,136",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE SEA VIEW,"2,950,000","1,410.08","2,092",Oct-22,AMBER ROAD,Resale,Strata,131,"22,519",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
HAWAII TOWER,"4,030,000","2,238.91","1,800",Oct-22,MEYER ROAD,Resale,Strata,208,"19,375",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
COTE D'AZUR,"1,825,000","1,140.98","1,599",Oct-22,MARINE PARADE ROAD,Resale,Strata,106,"17,217",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,16 to 20
THE ESPIRA,"800,000",592.02,"1,351",Oct-22,LORONG L TELOK KURAU,Resale,Strata,55,"14,545",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SUITES @ EASTCOAST,"640,000",365.98,"1,749",Oct-22,UPPER EAST COAST ROAD,Resale,Strata,34,"18,824",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
CHELSEA LODGE,"1,780,000","1,227.1","1,451",Oct-22,TANJONG KATONG ROAD,Resale,Strata,114,"15,614",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
EIS RESIDENCES,"732,000",505.91,"1,447",Oct-22,HAIG AVENUE,Resale,Strata,47,"15,574",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
CRESCENDO PARK,"2,880,000","2,206.62","1,305",Oct-22,JALAN TUA KONG,Resale,Strata,205,"14,049",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
CAMELODGE,"1,250,000",839.59,"1,489",Oct-22,UPPER EAST COAST ROAD,Resale,Strata,78,"16,026",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
TAIPAN JADE,"1,510,000","1,130.22","1,336",Oct-22,ROSE LANE,Resale,Strata,105,"14,381",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SANTA FE MANSIONS,"1,720,000","1,076.4","1,598",Oct-22,MARGATE ROAD,Resale,Strata,100,"17,200",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
VILLA MARINA,"1,750,000","1,571.54","1,114",Oct-22,JALAN SEMPADAN,Resale,Strata,146,"11,986",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
THE HACIENDA,"2,400,000","1,560.78","1,538",Oct-22,HACIENDA GROVE,Resale,Strata,145,"16,552",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
SUNNY PARC,"2,650,000","2,411.14","1,099",Oct-22,LORONG K TELOK KURAU,Resale,Strata,224,"11,830",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
FLAMINGO VALLEY,"830,000",516.67,"1,606",Oct-22,SIGLAP ROAD,Resale,Strata,48,"17,292",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
SEASIDE RESIDENCES,"2,880,000","1,302.44","2,211",Oct-22,SIGLAP LINK,Resale,Strata,121,"23,802",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,26 to 30
THE SOUND,"1,650,000",904.18,"1,825",Oct-22,EAST COAST ROAD,Resale,Strata,84,"19,643",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
PARK EAST,"2,250,000","1,345.5","1,672",Oct-22,JALAN TUA KONG,Resale,Strata,125,"18,000",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE MEYERISE,"1,620,000",871.88,"1,858",Oct-22,MEYER ROAD,Resale,Strata,81,"20,000",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
THE BALE,"1,450,000","1,054.87","1,375",Oct-22,LORONG H TELOK KURAU,Resale,Strata,98,"14,796",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE MAKENA,"3,000,000","1,614.6","1,858",Oct-22,MEYER ROAD,Resale,Strata,150,"20,000",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
COSTA RHU,"1,848,000","1,345.5","1,373",Oct-22,RHU CROSS,Resale,Strata,125,"14,784",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
COTE D'AZUR,"1,185,000",839.59,"1,411",Oct-22,MARINE PARADE ROAD,Resale,Strata,78,"15,192",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,01 to 05
COSTA RHU,"2,550,000","1,765.3","1,445",Oct-22,RHU CROSS,Resale,Strata,164,"15,549",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
D' CASTILIA,"840,000",602.78,"1,394",Oct-22,JOO CHIAT LANE,Resale,Strata,56,"15,000",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
ONE EIGHTIES RESIDENCES,"903,000",602.78,"1,498",Oct-22,JOO CHIAT TERRACE,Resale,Strata,56,"16,125",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
WATER PLACE,"2,345,678","1,453.14","1,614",Oct-22,TANJONG RHU ROAD,Resale,Strata,135,"17,375",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,06 to 10
LAGUNA PARK,"3,150,000","2,895.52","1,088",Oct-22,MARINE PARADE ROAD,Resale,Strata,269,"11,710",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,21 to 25
HAIG 162,"746,000",484.38,"1,540",Oct-22,HAIG ROAD,Resale,Strata,45,"16,578",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
COSTA RHU,"1,880,000","1,345.5","1,397",Oct-22,RHU CROSS,Resale,Strata,125,"15,040",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
THE HACIENDA,"5,400,000","3,229.2","1,672",Oct-22,HACIENDA GROVE,Resale,Strata,300,"18,000",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
PARK EAST,"2,600,000","1,689.95","1,539",Oct-22,JALAN TUA KONG,Resale,Strata,157,"16,561",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
EASTERN LAGOON,"2,180,000","1,377.79","1,582",Oct-22,UPPER EAST COAST ROAD,Resale,Strata,128,"17,031",-,Condominium,1,Freehold,15,Outside Central Region,06 to 10
COSTA RHU,"1,488,000",990.29,"1,503",Oct-22,RHU CROSS,Resale,Strata,92,"16,174",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
NEPTUNE COURT,"1,250,000","1,270.15",984,Oct-22,MARINE VISTA,Resale,Strata,118,"10,593",-,Apartment,1,99 yrs lease commencing from 1976,15,Outside Central Region,01 to 05
THE AZZURO,"872,000",645.84,"1,350",Oct-22,LORONG H TELOK KURAU,Resale,Strata,60,"14,533",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SANCTUARY GREEN,"1,660,000","1,119.46","1,483",Oct-22,TANJONG RHU ROAD,Resale,Strata,104,"15,962",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,11 to 15
SANTA FE MANSIONS,"1,670,000","1,076.4","1,551",Oct-22,MARGATE ROAD,Resale,Strata,100,"16,700",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
MODA,"1,938,000",968.76,"2,000",Oct-22,EAST COAST ROAD,Resale,Strata,90,"21,533",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
THE SEAWIND,"1,150,000",656.6,"1,751",Oct-22,LORONG M TELOK KURAU,Resale,Strata,61,"18,852",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
TANJONG RIA CONDOMINIUM,"1,850,000","1,280.92","1,444",Oct-22,TANJONG RHU ROAD,Resale,Strata,119,"15,546",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,06 to 10
FLAMINGO VALLEY,"1,405,000",936.47,"1,500",Oct-22,SIGLAP ROAD,Resale,Strata,87,"16,149",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
SEVENTY SAINT PATRICK'S,"2,100,000","1,054.87","1,991",Oct-22,ST. PATRICK'S ROAD,Resale,Strata,98,"21,429",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
RIVEREDGE,"2,500,000","1,593.07","1,569",Oct-22,SAMPAN PLACE,Resale,Strata,148,"16,892",-,Condominium,1,99 yrs lease commencing from 2004,15,Rest of Central Region,01 to 05
BOWMONT CENTRE,"2,185,000","1,883.7","1,160",Oct-22,SIGLAP DRIVE,Resale,Strata,175,"12,486",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
TEMBELING CENTRE,"1,800,000","1,323.97","1,360",Oct-22,TEMBELING ROAD,Resale,Strata,123,"14,634",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
STRAITS MANSIONS,"2,480,000","1,248.62","1,986",Oct-22,SEA AVENUE,Resale,Strata,116,"21,379",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SANCTUARY GREEN,"1,300,000",785.77,"1,654",Oct-22,TANJONG RHU ROAD,Resale,Strata,73,"17,808",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,01 to 05
LEGENDA AT JOO CHIAT,"1,550,000","1,227.1","1,263",Oct-22,JOO CHIAT LANE,Resale,Strata,114,"13,596",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,01 to 05
VILLA MARINA,"2,050,000","2,012.87","1,018",Oct-22,JALAN SEMPADAN,Resale,Strata,187,"10,963",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
THE SEAWIND,"1,760,000",936.47,"1,879",Oct-22,LORONG M TELOK KURAU,Resale,Strata,87,"20,230",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
PARC ELEGANCE,"708,000",419.8,"1,687",Oct-22,TELOK KURAU ROAD,Resale,Strata,39,"18,154",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
COSTA RHU,"1,858,000","1,345.5","1,381",Oct-22,RHU CROSS,Resale,Strata,125,"14,864",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
THE SILVER FIR,"820,000",527.44,"1,555",Oct-22,BUTTERWORTH LANE,Resale,Strata,49,"16,735",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
THE MAKENA,"2,250,000","1,151.75","1,954",Oct-22,MEYER ROAD,Resale,Strata,107,"21,028",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
SEASIDE RESIDENCES,"2,468,000","1,270.15","1,943",Oct-22,SIGLAP LINK,Resale,Strata,118,"20,915",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,01 to 05
HAIG APARTMENTS,"1,960,000","1,711.48","1,145",Oct-22,HAIG ROAD,Resale,Strata,159,"12,327",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
OCEAN PARK,"3,550,000","2,109.74","1,683",Oct-22,EAST COAST ROAD,Resale,Strata,196,"18,112",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
SEASIDE RESIDENCES,"1,072,720",505.91,"2,120",Oct-22,SIGLAP LINK,Resale,Strata,47,"22,824",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,16 to 20
THE NCLAVE,"1,278,000",861.12,"1,484",Oct-22,LORONG N TELOK KURAU,Resale,Strata,80,"15,975",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
GRAND DUCHESS AT ST PATRICK'S,"2,638,000","1,388.56","1,900",Oct-22,ST. PATRICK'S ROAD,Resale,Strata,129,"20,450",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
FULCRUM,"935,000",473.62,"1,974",Oct-22,FORT ROAD,Resale,Strata,44,"21,250",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
THE NCLAVE,"1,320,000",861.12,"1,533",Oct-22,LORONG N TELOK KURAU,Resale,Strata,80,"16,500",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
VILLA MARINA,"1,825,000","1,679.18","1,087",Oct-22,JALAN SEMPADAN,Resale,Strata,156,"11,699",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
THE SEA VIEW,"3,300,000","1,517.72","2,174",Oct-22,AMBER ROAD,Resale,Strata,141,"23,404",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
HAIG COURT,"2,700,000","1,550.02","1,742",Oct-22,HAIG ROAD,Resale,Strata,144,"18,750",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
THE ARISTO @ AMBER,"1,230,000",645.84,"1,904",Oct-22,AMBER ROAD,Resale,Strata,60,"20,500",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
NATURE MANSIONS,"1,720,000","1,216.33","1,414",Oct-22,LORONG K TELOK KURAU,Resale,Strata,113,"15,221",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SEASIDE RESIDENCES,"950,000",419.8,"2,263",Oct-22,SIGLAP LINK,Resale,Strata,39,"24,359",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,16 to 20
THE ADARA,"1,490,000",850.36,"1,752",Oct-22,CHAPEL ROAD,Resale,Strata,79,"18,861",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
ONE AMBER,"3,300,000","1,657.66","1,991",Oct-22,AMBER GARDENS,Resale,Strata,154,"21,429",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
NEPTUNE COURT,"1,665,000","1,636.13","1,018",Sep-22,MARINE VISTA,Resale,Strata,152,"10,954",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,11 to 15
SEVENTY SAINT PATRICK'S,"1,820,000","1,054.87","1,725",Sep-22,ST. PATRICK'S ROAD,Resale,Strata,98,"18,571",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE GERANIUM,"1,298,000",979.52,"1,325",Sep-22,MANGIS ROAD,Resale,Strata,91,"14,264",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
LAGUNA PARK,"2,220,000","1,614.6","1,375",Sep-22,MARINE PARADE ROAD,Resale,Strata,150,"14,800",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,21 to 25
SEASIDE RESIDENCES,"1,088,000",559.73,"1,944",Sep-22,SIGLAP LINK,Resale,Strata,52,"20,923",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,01 to 05
VERANDA,"1,650,000","1,280.92","1,288",Sep-22,LORONG K TELOK KURAU,Resale,Strata,119,"13,866",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
LAGUNA PARK,"1,780,000","1,453.14","1,225",Sep-22,MARINE PARADE ROAD,Resale,Strata,135,"13,185",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,06 to 10
VILLA MARTIA,"1,100,000",753.48,"1,460",Sep-22,MARTIA ROAD,Resale,Strata,70,"15,714",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
SEASIDE RESIDENCES,"2,380,000","1,087.16","2,189",Sep-22,SIGLAP LINK,Resale,Strata,101,"23,564",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,06 to 10
CAMELODGE,"1,900,000","1,689.95","1,124",Sep-22,UPPER EAST COAST ROAD,Resale,Strata,157,"12,102",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
PARADISE PALMS,"1,850,000","1,140.98","1,621",Sep-22,DUNMAN ROAD,Resale,Strata,106,"17,453",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
MANDARIN GARDENS,"1,880,000","1,571.54","1,196",Sep-22,SIGLAP ROAD,Resale,Strata,146,"12,877",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,06 to 10
PALAZZETTO,"1,368,000",818.06,"1,672",Sep-22,TANJONG RHU ROAD,Resale,Strata,76,"18,000",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
SEASIDE RESIDENCES,"1,450,000",678.13,"2,138",Sep-22,SIGLAP LINK,Resale,Strata,63,"23,016",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,21 to 25
RESIDENTIAL APARTMENTS,"1,736,478",936.47,"1,854",Sep-22,JALAN ULU SIGLAP,Resale,Strata,87,"19,960",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
RESIDENTIAL APARTMENTS,"1,736,478",936.47,"1,854",Sep-22,JALAN ULU SIGLAP,Resale,Strata,87,"19,960",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
RESIDENTIAL APARTMENTS,"3,397,779","1,969.81","1,725",Sep-22,JALAN ULU SIGLAP,Resale,Strata,183,"18,567",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SANCTUARY GREEN,"1,230,000",850.36,"1,446",Sep-22,TANJONG RHU ROAD,Resale,Strata,79,"15,570",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,01 to 05
